Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-09-16 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-09-17 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-09-18 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-09-19 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-09-20 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-09-23 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-09-24 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-09-25 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-09-26 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-09-27 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-09-30 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-10-01 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-10-02 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-10-03 00:00:00-04:00,2.0,2.0,2.0,2.0,2000,0.0,0.0
2013-10-04 00:00:00-04:00,2.0,2.0,2.0,2.0,100,0.0,0.0
2013-10-07 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-10-08 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-10-09 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-10-10 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-10-11 00:00:00-04:00,1.75,1.75,1.75,1.75,450,0.0,0.0
2013-10-14 00:00:00-04:00,1.75,1.75,1.75,1.75,1250,0.0,0.0
2013-10-15 00:00:00-04:00,1.75,1.75,1.75,1.75,1500,0.0,0.0
2013-10-16 00:00:00-04:00,1.75,1.75,1.75,1.75,1000,0.0,0.0
2013-10-17 00:00:00-04:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2013-10-18 00:00:00-04:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2013-10-21 00:00:00-04:00,1.75,1.75,1.75,1.75,5000,0.0,0.0
2013-10-22 00:00:00-04:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2013-10-23 00:00:00-04:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2013-10-24 00:00:00-04:00,1.75,1.75,1.75,1.75,5000,0.0,0.0
2013-10-25 00:00:00-04:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2013-10-28 00:00:00-04:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2013-10-29 00:00:00-04:00,1.75,1.75,1.75,1.75,1750,0.0,0.0
2013-10-30 00:00:00-04:00,1.75,1.75,1.75,1.75,500,0.0,0.0
2013-10-31 00:00:00-04:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2013-11-01 00:00:00-04:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2013-11-04 00:00:00-05:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2013-11-05 00:00:00-05:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2013-11-06 00:00:00-05:00,1.75,1.75,1.75,1.75,1000,0.0,0.0
2013-11-07 00:00:00-05:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2013-11-08 00:00:00-05:00,1.75,1.75,1.75,1.75,3000,0.0,0.0
2013-11-11 00:00:00-05:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2013-11-12 00:00:00-05:00,2.0,2.0,2.0,2.0,1750,0.0,0.0
2013-11-13 00:00:00-05:00,2.0,2.0,2.0,2.0,200,0.0,0.0
2013-11-14 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-11-15 00:00:00-05:00,2.0,2.0,2.0,2.0,1450,0.0,0.0
2013-11-18 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-11-19 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-11-20 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-11-21 00:00:00-05:00,2.0,2.0,2.0,2.0,500,0.0,0.0
2013-11-22 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-11-25 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-11-26 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-11-27 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-11-29 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-12-02 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-12-03 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-12-04 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-12-05 00:00:00-05:00,2.0,2.0,2.0,2.0,1155,0.0,0.0
2013-12-06 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-12-09 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-12-10 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2013-12-11 00:00:00-05:00,2.5,2.5,2.5,2.5,520,0.0,0.0
2013-12-12 00:00:00-05:00,2.5,2.5,2.5,2.5,0,0.0,0.0
2013-12-13 00:00:00-05:00,2.5,2.5,2.5,2.5,0,0.0,0.0
2013-12-16 00:00:00-05:00,2.5,2.5,2.5,2.5,0,0.0,0.0
2013-12-17 00:00:00-05:00,2.5,2.5,2.5,2.5,7510,0.0,0.0
2013-12-18 00:00:00-05:00,2.5,2.5,2.5,2.5,0,0.0,0.0
2013-12-19 00:00:00-05:00,2.5,2.5,2.5,2.5,0,0.0,0.0
