Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-03-17 00:00:00-04:00,2.0,2.0,2.0,2.0,250,0.0,0.0
2014-03-18 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-03-19 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-03-20 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-03-21 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-03-24 00:00:00-04:00,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,100,0.0,0.0
2014-03-25 00:00:00-04:00,2.549999952316284,2.549999952316284,2.0,2.0,450,0.0,0.0
2014-03-26 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-03-27 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-03-28 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-03-31 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-01 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-02 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-03 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-04 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-07 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-08 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-09 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-10 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-11 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-14 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-15 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-16 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-17 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-21 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-22 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-23 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-24 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-25 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-28 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-29 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-04-30 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-05-01 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-05-02 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-05-05 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-05-06 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-05-07 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-05-08 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-05-09 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-05-12 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-05-13 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2014-05-14 00:00:00-04:00,2.0,2.0,2.0,2.0,0,0.0,0.0
